participant,name,rollno,age,lefrig,prpcogsciexp,INFOSCREEN,TIME_start,TIME_end,TIME_total
s.09db6d06-c4c1-4b29-8cd7-2c98214c9260.txt,4387,2722,1821,2391,"",0,2020-10-05-09-10,2020-10-05-09-16,6
s.3fce1dca-97a6-4362-9067-f1403f0e5dec.txt,8829,7602,3782,3643,"",0,2020-10-04-19-57,"",""
s.7d163b4b-cf37-4de1-a0e4-b36ae4ee625e.txt,2125,840,1015,3817,"",0,2020-10-04-20-06,"",""
s.ede98bce-8e2a-4e07-a79a-77ed5a6f2710.txt,6197,2060,1103,2274,"",0,2020-10-04-19-40,"",""
s.fb761d0d-6da2-4602-9ade-f63f962d0d18.txt,6635,6149,3766,3119,"",0,2020-10-05-08-16,2020-10-05-08-26,10
s.d88ad406-0c64-4102-bff7-0d002f6a96b5.txt,5653,8306,2215,3646,"",0,2020-10-04-19-35,"",""
s.0e2f6273-effb-461e-99b1-34db2634a662.txt,5761,4506,5956,2706,"",0,2020-10-04-19-37,"",""
s.e6d981aa-2324-4971-8bb5-6776eb48e63e.txt,88028,4587,2369,2680,"",0,2020-10-04-20-44,2020-10-04-20-55,11
s.13db41f9-2df9-4a0d-8ffa-c6d25d2b2aec.txt,2518,2458,"","","",0,2020-10-04-21-40,"",""
s.58d9ebc4-a468-42e3-8c11-13a0d51591ff.txt,5314,3900,2066,2065,"",0,2020-10-04-19-38,"",""
s.e7fc7ba0-3455-44ee-80bd-f7b689e79c17.txt,8484,7773,3287,3777,"",0,2020-10-05-07-30,2020-10-05-07-40,10
s.9dda1915-f955-46cf-b43f-68ca10d95ac2.txt,3683,2115,2518,3730,"",0,2020-10-04-19-38,"",""
